Train第1次迭代的损失为：0.71602124;准确率为：0.5283203
Dev第1次迭代的损失为：0.6456266;准确率为：0.671875
Test第1次迭代的损失为：0.65050966;准确率为：0.625
Train第2次迭代的损失为：0.65263695;准确率为：0.5859375
Dev第2次迭代的损失为：0.5509593;准确率为：0.7447917
Test第2次迭代的损失为：0.56719816;准确率为：0.71875
Train第3次迭代的损失为：0.5725778;准确率为：0.680013
Dev第3次迭代的损失为：0.44999564;准确率为：0.7604167
Test第3次迭代的损失为：0.4699112;准确率为：0.71875
Train第4次迭代的损失为：0.4840689;准确率为：0.7682292
Dev第4次迭代的损失为：0.39088166;准确率为：0.8515625
Test第4次迭代的损失为：0.4120729;准确率为：0.84375
Train第5次迭代的损失为：0.41818437;准确率为：0.8251953
Dev第5次迭代的损失为：0.32755834;准确率为：0.9036458
Test第5次迭代的损失为：0.34848773;准确率为：0.890625
Train第6次迭代的损失为：0.36907744;准确率为：0.8626302
Dev第6次迭代的损失为：0.29930386;准确率为：0.9010417
Train第7次迭代的损失为：0.3355991;准确率为：0.8873698
Dev第7次迭代的损失为：0.2793078;准确率为：0.9166667
Test第7次迭代的损失为：0.30531317;准确率为：0.90625
Train第8次迭代的损失为：0.31059757;准确率为：0.8984375
Dev第8次迭代的损失为：0.2607881;准确率为：0.9322917
Test第8次迭代的损失为：0.29034647;准确率为：0.9166667
Train第9次迭代的损失为：0.2955539;准确率为：0.90983075
Dev第9次迭代的损失为：0.25093088;准确率为：0.9322917
Test第9次迭代的损失为：0.28674474;准确率为：0.9140625
Train第10次迭代的损失为：0.28414777;准确率为：0.9117839
Dev第10次迭代的损失为：0.24597484;准确率为：0.9322917
Train第11次迭代的损失为：0.27579257;准确率为：0.9189453
Dev第11次迭代的损失为：0.24022509;准确率为：0.9322917
Train第12次迭代的损失为：0.26181087;准确率为：0.929362
Dev第12次迭代的损失为：0.2322976;准确率为：0.9401042
Test第12次迭代的损失为：0.26120245;准确率为：0.9244792
Train第13次迭代的损失为：0.25235364;准确率为：0.9322917
Dev第13次迭代的损失为：0.23008661;准确率为：0.9453125
Test第13次迭代的损失为：0.2575551;准确率为：0.9244792
Train第14次迭代的损失为：0.24962717;准确率为：0.930013
Dev第14次迭代的损失为：0.22038937;准确率为：0.9427083
Train第15次迭代的损失为：0.23529564;准确率为：0.9407552
Dev第15次迭代的损失为：0.2047344;准确率为：0.9557292
Test第15次迭代的损失为：0.24295612;准确率为：0.9348958
Train第16次迭代的损失为：0.2218662;准确率为：0.9482422
Dev第16次迭代的损失为：0.2023657;准确率为：0.9557292
Test第16次迭代的损失为：0.24617411;准确率为：0.9296875
Train第17次迭代的损失为：0.20934145;准确率为：0.9534505
Dev第17次迭代的损失为：0.19936325;准确率为：0.9583333
Test第17次迭代的损失为：0.2364753;准确率为：0.9322917
Train第18次迭代的损失为：0.19563042;准确率为：0.9625651
Dev第18次迭代的损失为：0.20143098;准确率为：0.9583333
Train第19次迭代的损失为：0.19305022;准确率为：0.9641927
Dev第19次迭代的损失为：0.19329213;准确率为：0.9635417
Test第19次迭代的损失为：0.22493064;准确率为：0.9453125
Train第20次迭代的损失为：0.18962687;准确率为：0.9690755
Dev第20次迭代的损失为：0.19289875;准确率为：0.96875
Test第20次迭代的损失为：0.22572099;准确率为：0.9453125
